shelfmark,title,additional_titles,authors,language,language_codes,date,place,source_file
Or 4227,"Tana""kh (תנ""ך)",Masoretic list|Genesis|Exodus|Leviticus|Numbers|Deuteronomy|Joshua|Judges|Samuel|Kings|Jeremiah|Exekiel|Isaiah|Hosea|Joel|Amos|Obadiah Jonah|Micah|Nahum|Habakuk|Zephaniah|Haggai|Zechariah|Malachi|Masoretic lists relating to Hagiographa|Ruth|Psalms|Job|Proverbs|Ecclesiastes|Song of Songs|Lamentations|Esther|Daniel|Ezra|Chronicles|Masoretic list.,"",Hebrew,he,"",France,Data/0047/or_4227/data/or_4227_TEI.xml
Or 6570,Nevi᾿im u-khetuvim (נביאים וכתובים),Joshua|Judges|Samuel|Kings|Isaiah|Jeremiah|Ezekiel|Hosea|Joel|Amos|Obadiah|Micah|Nahum|Habakuk|Zephaniah|Haggai|Zechariah|Kings|Psalms|Job|Proverbs|Daniel|Ezra-Nehemiah|Chronicles|Song of Songs|Lamentations|Ecclesiastes|Esther|List of hafṭarot,"",Hebrew,he,"","",Data/0047/or_6570/data/or_6570_TEI.xml
Or 11625,Megilat Ester (מגלת אסתר),"","",Hebrew,he,"",Unknown,Data/0047/or_11625/data/or_11625_TEI.xml
Or 2786,"Torah, hafṭarot u-megilot (תורה, הפטרות ומגילות)",Exodus|Leviticus|Numbers|Deuteronomy|Hafṭarot for the four Sabbaths|Hafṭarot for Passover|Hafṭarot for Pentecost|Hafṭarot for the 9th of Av|Hafṭarot for the New Year|Hafṭarot for Yom Kipur|Hafṭarot for Sukot|Esther|Song of Songs|Ruth|Lamentations|Ecclesiastes,"",Hebrew,he,"","",Data/0047/or_2786/data/or_2786_TEI.xml
Or 1103,Karaite service book for the Day of Atonement.,Ḳinot קינות,"",Hebrew; Judeo-Arabic,he|jrb,"",Egypt,Data/0047/or_1103/data/or_1103_TEI.xml
Or 9958,Midrash on the Pentateuch,"","",Hebrew,he,"","",Data/0047/or_9958/data/or_9958_TEI.xml
Harley MS 5686,Maḥzor,Services for week-days|Services for Shabat|Services for Rosh ḥodesh|Services for Pesaḥ|Shevaḥot|Services for Shavu῾ot|Seder Ta῾anit|Seder ha-ma῾amadot|Services for Rosh ha-shanah|Services for Yom Kipur|Piyuṭim for Ta῾anit|Services for Sukot|Poetical pieces|The Five Scrolls|Pirḳe avot|The benedictions for hafṭarot|Sefer Tahanunim ספר תחנונים|Psalms and various litugical texts,"",Hebrew,he,"","Italy, N. (Reggio di Emilia). Part I: Italy, N. (Reggio di Emilia) Part II: Italy, N. (Bologna) Part III: Italy.",Data/0047/harley_ms_5686/data/harley_ms_5686_TEI.xml
Or 2578,Kitāb al-Anwār wal-marāqib (كتاب الأنوار والمراقب),Kitāb al-Anwār wal-marāqib|Kitāb al-Anwār wal-marāqib,"",Hebrew,he,"","",Data/0047/or_2578/data/or_2578_TEI.xml
Or 1104,A Karaite festival prayer book for Sukot.,"","",Hebrew,he,"","",Data/0047/or_1104/data/or_1104_TEI.xml
Or 4220,The Book of Ruth.,"Services for the first day of Rosh
          								ha-Shanah","",Hebrew,he,"",Yemen,Data/0047/or_4220/data/or_4220_TEI.xml
Or 2547,"The book of Joshua, Judges and Samuel in Arabic characters, with punctuation, accentuation, an Arabic translation and a commentary of Yefet ben ʿEli.","","",Hebrew; Arabic,he|ar,"","",Data/0047/or_2547/data/or_2547_TEI.xml
Or 2513,Perushim (פרושים),Song of Songs,"",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_2513/data/or_2513_TEI.xml
Or 5399,Biblical commentaries and sermons.,"","",Hebrew; Arabic,he|ara,"","",Data/0047/or_5399/data/or_5399_TEI.xml
Add MS 27205,"A daily prayer book with seliḥot (i.e. propitiatory prayers), Ashkenazi rite.","","",Hebrew,he,"",Germany,Data/0047/add_ms_27205/data/add_ms_27205_TEI.xml
Or 2514,Perush Shir ha-shirim (פרוש שיר השירים),"","",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_2514/data/or_2514_TEI.xml
Harley Ch 43 A 60 B,Sheṭar (שטר),"","",Hebrew,he,"",Unknown,Data/0047/harley_ch_43_a_60_b/data/harley_ch_43_a_60_b_TEI.xml
Add MS 26915,Glosses on Yevamot,Glosses on Ḳidushin,"",Hebrew; Jewish Babylonian Aramaic (ca. 200-1200 CE),he|tmr,"",Italy,Data/0047/add_ms_26915/data/add_ms_26915_TEI.xml
Add MS 27030,Kabbalistic homilies by Natan ben Reuven Shapira.,"","",Hebrew,he,"",Italy,Data/0047/add_ms_27030/data/add_ms_27030_TEI.xml
Add Ch 1250,Latin deed with Hebrew acknowledgment,"","",Latin; Hebrew,la|he,"",Unknown,Data/0047/add_ch_1250/data/add_ch_1250_TEI.xml
Or 2389,Sidur (סדור),"Services for week-days|Services for Sabbath|Services for Rosh ḥodesh|Services for Pesaḥ|Tefilat ḥag ha-Shavu῾ot|Tefilat ha-ta῾aniyot|Services for Tish῾ah be-Av|Services for Rosh ha-Shanah|Services for ῾asarah yeme teshuvah|Services for Yom Kipur|Tefilat ḥag ha-Sukot|Seder ha-῾asiyah bi-shemonat yeme Ḥanukah|Services for Purim|Tseloah almiyat|Tiḳun seliḥot le-lele ashmurot|Seliḥot le-el raḥamim|Seder ῾avodah|A section on the form of prayer|Berakhot|Ma῾arafah ḥasab al-῾ibur|Nusaḥ ha-ketubot, ha-giṭin ṿeha-sheṭarot|Toḥakhot u-vaḳashot|Shirot ṿe-tishbahot|Masekhet yoma|Additions","",Hebrew; Judeo-Arabic,he|jrb,"",Yemen,Data/0047/or_2389/data/or_2389_TEI.xml
Or 2374,Ketuvim (כתובים),Psalms|Job|Proverbs|Lamentations Daniel|Esther|Ezra|Chronicles,"",Hebrew; Jewish Babylonian Aramaic (ca. 200-1200 CE); Judeo-Arabic,he|tmr|jrb,"",Yemen,Data/0047/or_2374/data/or_2374_TEI.xml
Harley MS 5498a,Torah (תורה),Torah תורה|Genesis|Exodus|Leviticus|Numbers|Deuteronomy,"",Hebrew,he,"","",Data/0047/harley_ms_5498a/data/harley_ms_5498a_TEI.xml
Or 2522,A fragment of a polemic treatise against the Rabbanite code of laws as laid down in Maimonides' Mishneh Torah.,"","",Judeo-Arabic; Hebrew,jrb|he,"","",Data/0047/or_2522/data/or_2522_TEI.xml
Or 2380,Midrash ha-ḥefets (מדרש החפץ),"","",Hebrew; Arabic,he|ara,"",Yemen,Data/0047/or_2380/data/or_2380_TEI.xml
Or 2387,"Perush ha-Tanakh (פרוש התנ""ך)",Judges|Samuel|Kings,"",Judeo-Arabic,jrb,"",Yemen,Data/0047/or_2387/data/or_2387_TEI.xml
Or 11016,Tehilim (תהילים),"","",Hebrew,he,"","",Data/0047/or_11016/data/or_11016_TEI.xml
Or 9905,כתובים (Ketuvim),"","",Hebrew,he,"","",Data/0047/or_9905/data/or_9905_TEI.xml
Or 2525,A collection of abstracts of Al-Qirqisānī's Kitāb al-anwār.,"","",Judeo-Arabic,jrb,"","",Data/0047/or_2525/data/or_2525_TEI.xml
Or 2373,Ketuvim (כתובים),Psalms|Job|Proverbs|Ecclesiastes|Song of Songs,"",Hebrew,he,"",Yemen,Data/0047/or_2373/data/or_2373_TEI.xml
Or 2538,A Karaite miscellany.,Gan ha-te῾udot גן תעודות|Elef alafim shotefim nofet אלף אלפים שותפים נופת|Ahah imi yelidateni le-ramah  אהה אמי ילידתיני לרמה|Ketseh קצה אלאפרנג אלדי דכלי בדת בני מקרא|Divre tokhaḥah דברי תוכחה|Shir neged Shabtai Tsevi ṿe-Natan ha-῾Azati שיר נגד שבתי צבי ונתן העזתי|Dine erusin u-nesu᾿in דיני ארוסין ונשואין|Dine giṭin דיני גטין|Ṭofes geṭ טופס גט|Nusaḥ geṭ kara᾿i נוסח גט קראי|Maḳamah מקאמה,"",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_2538/data/or_2538_TEI.xml
Add MS 27023,Sefer refu᾿ot (ספר רפואות),"","",Hebrew,he,"",Unknown,Data/0047/add_ms_27023/data/add_ms_27023_TEI.xml
Add MS 27211,Kabbalistic collectanea.,"","",Hebrew,he,"",Italy,Data/0047/add_ms_27211/data/add_ms_27211_TEI.xml
Or 2351,Midrash ha-ḥefets (מדרש החפץ),Homily on Be-reshit|Homily on Noaḥ|Homily on Lekh lekha|Homily on Ṿa-yera|Homily on Ḥaye Sarah|Homily on Toledot|Homily on Ṿa-yetse|Homily on Ṿa-yishlaḥ|Homily on Ṿa-yeshev|Homily on Mi-kets|Homily Ṿa-yigash|Homily on Ṿa-yeḥi|Homily on Shemot|Homily on Ṿa-᾿era|Homily on Bo|Homily on Be-shalaḥ|Homily on Yitro|Homily on Mishpaṭim|Homily on Terumah|Homily on Tetsaveh|Homily on Ki tisa|Homily on Ṿa-yaḳhel|Homily on Peḳude|Homily on Ṿa-yiḳra|Homily on Tsaṿ|Homily on Shemini|Homily on Tazri῾a|Homily on Metsora῾|Homily on Aḥare mot|Homily on Ḳedoshim|Homily on Emor|Homily on Be-har|Homily on Be-ḥuḳotai|Homily on Be-midbar|Homily on Naso|Homily on Be-ha᾿alotekha|Homily on Shalaḥ lekha|Homily on Ḳoraḥ|Homily on Ḥuḳat|Homily on Balaḳ|Homily on Pinḥas|Homily on Maṭot|Homily on Mas῾e|Homily on Eleh ha-devarim|Homily on Ṿa-etḥanan|Homily on ῾Eḳev|Homily on Re᾿eh|Homily on Shofṭim|Homily on Ki tetse|Homily on Ki tavo|Homily on Netsavim|Homily on Ha᾿azinu|Homily on Zot ha-berakhah|Mishneh Torah  משנה תורה,"",Hebrew,he,"",Yemen,Data/0047/or_2351/data/or_2351_TEI.xml
Or 2507,Perush Mishle (פרוש משלי),"","",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_2507/data/or_2507_TEI.xml
Or 2735,Maḥzor (מחזור),Portions of Passover services|Portions for Shavu῾ot|Pirḳe avot|A series of ma῾arivim shel Pesaḥ|A series of ma῾arivim shel Shavu῾ot|A series of ma῾arivim shel Rosh ha-Shanah|Ma῾arivim shel Sukot|The prayers for Rosh ha-Shanah and Yom Kipur|Hosh῾anot|Services for Simḥat Torah|Yotsrot|Portions of Ketubot ṿe-Ḳidushin,"",Hebrew,he,"",France,Data/0047/or_2735/data/or_2735_TEI.xml
Or 2369,Nevi᾿im (נביאים),Judges|Samuel|Kings,"",Hebrew,he,"",YemenSan'a,Data/0047/or_2369/data/or_2369_TEI.xml
Or 6359,Two fragments of biblical commentaries.,Leviticus ויקרא,"",Hebrew,he,"","",Data/0047/or_6359/data/or_6359_TEI.xml
Or 2500,An Arabic commentary on the books of Kings.,"","",Judeo-Arabic; Hebrew,jrb|he,"","",Data/0047/or_2500/data/or_2500_TEI.xml
Or 2356,"Nur al-tsulm, an Arabic-Hebrew midrashic commentary on the Pentateuch by Nathanael ben Isaiah.","","",Hebrew; Arabic,he|ara,"",Yemen,Data/0047/or_2356/data/or_2356_TEI.xml
Or 2509,Perush Iyov (פרוש איוב),"","",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_2509/data/or_2509_TEI.xml
Add MS 10456,Maḥzor (מחזור),Yotser for Shabat and Ḥanukah|For the pericope 'Sheḳalim'|Yotser for Shabat of the pericope 'Zekhor'|Poetical pieces for Purim|For the pericope 'Parah'|Yotser for the pericope of the month|Yotser for the great Shabat|Yotser for the first day of Pesaḥ|Yotser for the second day of Pesaḥ|Yotser for Shabat of ḥol ha-mo῾ed of Pesaḥ|Yotser for the seventh day of Pesaḥ|Yotser for the last day of Pesaḥ|Yotser for Shavu῾ot|Yotser for the second day of Shavu῾ot|The book of Ruth|The Song of Songs,"",Hebrew,he,"",Germany,Data/0047/add_ms_10456/data/add_ms_10456_TEI.xml
Or 2704,Torah,Numbers|Deuteronomy,"",Hebrew; Jewish Babylonian Aramaic (ca. 200-1200 CE); Judeo-Arabic,he|tmr|jrb,"",Yemen.,Data/0047/or_2704/data/or_2704_TEI.xml
Or 2536,Mavo (מבוא),Introduction to the Pentateuch lections Lists of lections|On pericope Ha᾿azinu|Readings from the Torah|Series of Scripture verses|Piyuṭ|Introductory verses|Series of biblical verses for Megilat Purim|For the month of Av|Tokhaḥot|Special funeral offices|Prayers for the dying|On mid-day prayers on Sabbath-days|Propitiatory prayers|Penitential hymns and prayers|Benedictions|Grammatical section (fragments)|Grammatical section|Grammatical section|On numerals|On the authorship of Scripture|On chronology|A series of piyuṭim for Sabbath-days and festivals,"",Hebrew; Judeo-Arabic,he|jrb,"",SyriaDamascus,Data/0047/or_2536/data/or_2536_TEI.xml
Lansdowne MS 694,"A Hebrew Grammar, in Latin.","","",Latin; Hebrew,la|he,"","",Data/0047/lansdowne_ms_694/data/lansdowne_ms_694_TEI.xml
Add MS 27015,A kabbalistic commentary on the daily prayers.,"","",Hebrew,he,"",Italy,Data/0047/add_ms_27015/data/add_ms_27015_TEI.xml
Or 6501,Medical writing.,"","",Hebrew,he,"","",Data/0047/or_6501/data/or_6501_TEI.xml
Or 9911,A Yiddish paraphrase of Genesis and Exodus (1-21),"","",Yiddish,yid,"","",Data/0047/or_9911/data/or_9911_TEI.xml
Harley MS 1861,"Torah ʿim perush Rash""i, megilot ṿe-hafṭarot (תורה עם פרוש רש""י, מגילות והפטרות)",A list of Psalms|Genesis|Exodus|Leviticus|Numbers|Deuteronomy|Song of Songs|Ruth|Lamentations|Ecclesiastes|Esther|Hafṭarot for the whole year.|Job|Megilat Antiochus,"",Hebrew; Jewish Babylonian Aramaic (ca. 200-1200 CE),he|tmr,"",Germany,Data/0047/harley_ms_1861/data/harley_ms_1861_TEI.xml
Or 6357,A concordance of rabbinical terms and a series of notes and legal regulations.,"Ḥidushe halakhah חדושי הלכה|Dine giṭin, yibum ṿe-ḳidushin דיני גטין, יבום וקדושין","",Hebrew,he,"","",Data/0047/or_6357/data/or_6357_TEI.xml
Or 2531,Sidur (סדור),Introduction to the Karaite liturgy|Prayers for week-days|Services for Sabbath-days|Services for rosh ḥodesh|Services for the season of Pesaḥ|Services for special Sabbaths|Appendix,"",Hebrew; Judeo-Arabic,he|jrb,"",SyriaDamascus,Data/0047/or_2531/data/or_2531_TEI.xml
Or 2703,"Genesis with Targum Onḳelos and Sa'adia Gaon's Arabic translation in Hebrew characters, with superlinear punctuation.","","",Hebrew; Jewish Babylonian Aramaic (ca. 200-1200 CE); Judeo-Arabic,he|tmr|jrb,"",Yemen,Data/0047/or_2703/data/or_2703_TEI.xml
Or 2367,Bereshit u-shemot (בראשית ושמות),Maḥberet al-tigan מחברת אלתיגאן|Genesis|Exodus,"",Hebrew; Jewish Babylonian Aramaic (ca. 200-1200 CE); Judeo-Arabic,he|tmr|jrb,"","",Data/0047/or_2367/data/or_2367_TEI.xml
Add MS 17049,"Perush ha-Ri""f (פירוש הרי""ף)","Ta῾anit|Megilah|Yom ṭov|Rosh ha-Shanah|Yoma|Sukah|Pesaḥ rishon|Mo῾ed ḳaṭan|Shabat|Ḥulin|῾Eruvin|Hilkhot ṭum᾿ah|Hilkhot Sefer Torah|Hilkhot mezuzah|Hilkhot tefilin|Hilkhot tsitsit|Teshuvot|Discussions and decisions on the tractate
          									Ḥulin","",Hebrew,he,"",Germany|Italy,Data/0047/add_ms_17049/data/add_ms_17049_TEI.xml
Or 2565,Karaite commentaries,Commentary on the Psalms|Commentary on the Psalms,"",Arabic; Hebrew,ara|he,"","",Data/0047/or_2565/data/or_2565_TEI.xml
Add MS 19776,"Torah, megilot ṿe-hafṭarot (תורה, מגילות והפטרות)","Genesis|Exodus|Leviticus|Numbers|Deuteronomy|Song of Songs|Ruth|Lamentations|Ecclesiastes|Esther|Hafṭarot for the whole year.|ʻEn ha-kore עין הקורא|A collection of several pieces on masorah, punctuation and accents.","",Hebrew,he,"",Unknown,Data/0047/add_ms_19776/data/add_ms_19776_TEI.xml
Or 2562,Perushim (פרושים),Deuteronomy,"",Arabic; Hebrew,ara|he,"","",Data/0047/or_2562/data/or_2562_TEI.xml
Or 2596,Grammatical writing.,"","",Hebrew; Jewish Babylonian Aramaic (ca. 200-1200 CE),he|tmr,"","",Data/0047/or_2596/data/or_2596_TEI.xml
Add MS 19782,"Penitential prayers for the intermediate nights of Rosh ha-Shanah and for the two nights of the festival, according to a North African rite.","","",Hebrew,he,"","Africa, N.",Data/0047/add_ms_19782/data/add_ms_19782_TEI.xml
Or 2537 b,Karaite poetical work,"","",Hebrew,he,"","",Data/0047/or_2537_b/data/or_2537_b_TEI.xml
Or 2554,Perushim (פרושים),Song of Songs,"",Hebrew; Arabic,he|ara,"",Ramlah,Data/0047/or_2554/data/or_2554_TEI.xml
Add MS 18692,Sidur (סדור),"Services for week-days|Services for Shabat|Special portions for Rosh ḥodesh, Purim, Hanukah,
          								etc.|Services for Pesaḥ|Services for Shavu῾ot|Services for Rosh ha-shanah|Services for Yom Kipur|Services for Sukot|A collection of yotserot|Additional pieces","",Hebrew,he,"",Italy,Data/0047/add_ms_18692/data/add_ms_18692_TEI.xml
Add MS 26955,Maḥzor (מחזור),Seder Taḥanunim|Services for Rosh ha-Shanah|Services for Yom Kipur|Services for Sukot,"",Hebrew,he,"",Italy,Data/0047/add_ms_26955/data/add_ms_26955_TEI.xml
Harley MS 6480,"A Hebrew grammar book, with English explanations.","","",Hebrew; English,he|en,"","",Data/0047/harley_ms_6480/data/harley_ms_6480_TEI.xml
Add MS 27070,Maḥzor (מחזור),"Services for the week-days|Services for Shabat|Services for Rosh ḥodesh|Services for Ḥanukah|Arba῾ah tsomot|Purim ṿe-Seder arba῾ah parashiyot|Services for Pesaḥ|Masekhet avot|Services for Shavu῾ot|Shiv῾ah ῾asar be-tamuz ṿe-tish῾ah
          								be-av|The Five Scrolls|Additional pieces","",Hebrew,he,"",Italy,Data/0047/add_ms_27070/data/add_ms_27070_TEI.xml
Or 2553,Perush Mishle (פרוש משלי),"","",Arabic; Hebrew,ara|he,"",EgyptCairo,Data/0047/or_2553/data/or_2553_TEI.xml
Add MS 27083,Hilkhot heter ve-isur,Seder ha-niḳur|Certificates|Hilkhot sheḥiṭah,"",Hebrew,he,"","N.E. Reggio di Emilia, Italy",Data/0047/add_ms_27083/data/add_ms_27083_TEI.xml
Add MS 26999,"A commentary on the Zohar, in the order of pericopes.","","",Hebrew,he,"",Italy,Data/0047/add_ms_26999/data/add_ms_26999_TEI.xml
Or 2530,Sidur (סידור),Services for week-days|Services for the Sabbath|Services for Teru῾ah|Services for Sukot|A series of services for fast days and Purim|An office used at marriages (a fragment)|Services for rosh ḥodesh|Services for Pesaḥ,"",Hebrew,he,"",Jerusalem,Data/0047/or_2530/data/or_2530_TEI.xml
Or 2366,Bereshit u-Shemot (בראשית ושמות),Exodus,"",Hebrew,he,"",Yemen,Data/0047/or_2366/data/or_2366_TEI.xml
Or 6356,A communal register of the Cairo Jewish community.,"","",Hebrew,he,"","",Data/0047/or_6356/data/or_6356_TEI.xml
Or 1379,Torah (תורה),Maḥberet ha-tigan|Genesis|Exodus|Leviticus|Numbers|Deuteronomy,"",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_1379/data/or_1379_TEI.xml
Harley MS 2427,Tehilim (תהילים),"","",Hebrew; Ancient Greek (to 1453); Latin; English,he|grc|la|en,"","",Data/0047/harley_ms_2427/data/harley_ms_2427_TEI.xml
Or 2508,A Judeo-Arabic commentary on the book of Proverbs.,"","",Judeo-Arabic; Hebrew,jrb|he,"","",Data/0047/or_2508/data/or_2508_TEI.xml
Add MS 26936,Diḳduḳ ῾ivri (דקדוק עברי),"","",Italian; Hebrew,ita|he,"",Unknown,Data/0047/add_ms_26936/data/add_ms_26936_TEI.xml
Or 5978,Maḥzor (מחזור),Morning prayers|Piyuṭim|Prayers for special Sabbaths|Services for Pesaḥ|Services for Shavu῾ot|Services for Sukot,"",Hebrew,he,"",Corfu,Data/0047/or_5978/data/or_5978_TEI.xml
Or 6358,A response on marriage law.,"","",Hebrew,he,"","",Data/0047/or_6358/data/or_6358_TEI.xml
Or 2368,Shemot (שמות),"","",Hebrew; Jewish Babylonian Aramaic (ca. 200-1200 CE); Judeo-Arabic,he|tmr|jrb,"",Yemen,Data/0047/or_2368/data/or_2368_TEI.xml
Or 2501,The second part of the commentary of Japheth ben Ali on the book of Isaiah.,"","",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_2501/data/or_2501_TEI.xml
Or 2733,Maḥzor (מחזור),Services for the first day|Services for the second day|Services of  seliḥot (fragment),"",Hebrew,he,"",France,Data/0047/or_2733/data/or_2733_TEI.xml
Or 2539,Karaite service book and parts of biblical text.,"","",Hebrew; Arabic,he|ara,"","",Data/0047/or_2539/data/or_2539_TEI.xml
Add MS 27210,Hagadah shel Pesaḥ (הגדה של פסח),Illustriations|Poetical pieces|Lel shemurim|Hagadah|Liturgical pieces,"",Hebrew,he,"",SpainCataloniaBarcelonaItaly,Data/0047/add_ms_27210/data/add_ms_27210_TEI.xml
Add MS 26938,Torah (תורה),Exodus|Leviticus|Numbers|Deuteronomy,"",Hebrew,he,"",Italy,Data/0047/add_ms_26938/data/add_ms_26938_TEI.xml
Or 2350,Torah (תורה),Genesis|Exodus|Leviticus|Numbers|Deuteronomy|Hafṭarot,"",Hebrew; Judeo-Arabic,he|jrb,"",Yemen,Data/0047/or_2350/data/or_2350_TEI.xml
Or 2734,Maḥzor (מחזור),Services for the first day of Rosh ha-Shanah|Services for the second day of Rosh ha-Shanah|Services for Yom Kipur,"",Hebrew,he,"",Italy,Data/0047/or_2734/data/or_2734_TEI.xml
Or 2506,Perush Mishle (פרוש משלי),Section 2|Section 3|Section 4|Section 5|Section 6,"",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_2506/data/or_2506_TEI.xml
Or 6360,Mafteaḥ Shelomoh (מפתח שלמה),Sefer ha-levanah  ספר הלבנה|Sefer ma῾alot ha-mazalot  ספר מעלות המזלות|Sefer Mafteaḥ Shelomoh ספר מפתח שלמה,"",Hebrew,he,"","",Data/0047/or_6360/data/or_6360_TEI.xml
Egerton MS 67A,The Book of Esther.,"","",Hebrew,he,"","",Data/0047/egerton_ms_67a/data/egerton_ms_67a_TEI.xml
Add MS 18694,Torah (תורה),Genesis|Exodus|Leviticus|Numbers|Deuteronomy,"",Yiddish,yi,"",Germany,Data/0047/add_ms_18694/data/add_ms_18694_TEI.xml
Add MS 27049,"Mishpeṭe Shemuʾel, containing textual notes, explanations and diagrams on some tractates of Seder Zeraʿim, by Shemuʾel ben Avraham ha-Kohen of Fez.","","",Hebrew,he,"",Italy,Data/0047/add_ms_27049/data/add_ms_27049_TEI.xml
Or 2552,Perushim,Commentary on Job|Ecclesiastes|Lamentations,"",Arabic,ara,"","",Data/0047/or_2552/data/or_2552_TEI.xml
Add MS 26998,Maḥzor (מחזור),Seder ma῾amadot|Rosh ha-Shanah|Yom Kipur|Sukot|Piyuṭim|Smaller offices|Suplicatory prayers,"",Hebrew,he,"","Italy, N.Cento",Data/0047/add_ms_26998/data/add_ms_26998_TEI.xml
Add MS 26954,Sidur (סדור),Services for week-days|Services for the Sabbath|Special portions for Rosh ḥodesh and Purim|Prayers for Shalosh regalim|Hagadah for Passover|[Pirḳe avot]|Prayers for the New Year|Prayers for the Day of Atonement|Poetical pieces,"",Hebrew,he,"",Germany|Poland,Data/0047/add_ms_26954/data/add_ms_26954_TEI.xml
Or 2555,An Arabic commentary on the book of Ecclesiastes.,"","",Arabic; Hebrew,ara|he,"","",Data/0047/or_2555/data/or_2555_TEI.xml
Add MS 18832,"A daily prayer book, Ashkenazi rite.","","",Hebrew,he,"",Germany,Data/0047/add_ms_18832/data/add_ms_18832_TEI.xml
Add MS 21140,Philosophical writings.,Sefer ha-῾agulot ha-ra῾eyonot ספר העגולות הרעיונות,"",Hebrew,he,"","",Data/0047/add_ms_21140/data/add_ms_21140_TEI.xml
Add MS 26962,Masekhet Purim (מסכת פורים),"","",Hebrew,he,"",Unknown,Data/0047/add_ms_26962/data/add_ms_26962_TEI.xml
Or 2537 c,Kitāb al-Tajallīyyāt,"","",Hebrew,he,"","",Data/0047/or_2537_c/data/or_2537_c_TEI.xml
Add MS 25717,Talmud bavli (תלמוד בבלי),'Arakhin|Keritot,"",Jewish Babylonian Aramaic (ca. 200-1200 CE); Hebrew,tmr|he,"",Unknown,Data/0047/add_ms_25717/data/add_ms_25717_TEI.xml
Add MS 18971,Philosophical writings.,Ha-gedarim הגדרים|Ha-she᾿elah ṿeha-teshuvah השאלה והתשובה,"",Hebrew,he,"",The NetherlandsAmsterdam,Data/0047/add_ms_18971/data/add_ms_18971_TEI.xml
Add MS 27556,Sidur (סדור),Services for week-days|Services for Shabat|Special portions for Rosh ḥodesh etc.|Prayers for Rosh ha-Shanah and Yom Kipur|Hosh῾anot|Portions for Simḥat Torah|Seder Pesaḥ|Masekhet avot|Ma῾ariv for the first day of Pesaḥ,"",Hebrew,he,"",Germany,Data/0047/add_ms_27556/data/add_ms_27556_TEI.xml
Or 5866,Sidur minhag Sefarad (סדור מנהג ספרד),Poetical pieces|Services for the week-days|Services for sabbath|Additional pieces for various occasions|Services for Pesaḥ|Services for Shavu῾ot|Services for fast-days|Tiḳun seliḥot le-lele ashmurot|Services for Rosh ha-shanah|Services for Yom kipur|Services for Sukot|Tiḳun berakhot,"",Hebrew; Jewish Babylonian Aramaic (ca. 200-1200 CE),he|tmr,"","",Data/0047/or_5866/data/or_5866_TEI.xml
Or 2086,The Book of Esther.,"","",Hebrew,he,"",Spain,Data/0047/or_2086/data/or_2086_TEI.xml
Or 1099,A treatise on the philosophy of religion.,"","",Hebrew,he,"","",Data/0047/or_1099/data/or_1099_TEI.xml
Add MS 11830,Maḥzor (מחזור),Services for the first day|Services for the second day,"",Hebrew,he,"",Unknown,Data/0047/add_ms_11830/data/add_ms_11830_TEI.xml
Or 6277 A,The order of service for musaf on the Day of Atonement.,"","",Hebrew,he,"","",Data/0047/or_6277_a/data/or_6277_a_TEI.xml
Or 5062,The commentary of Japheth ben Ali on the book of Ezekiel.,"","",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_5062/data/or_5062_TEI.xml
Or 11122,A prayer book with commentaries.,"","",Hebrew; Judeo-Arabic,he|jrb,"","",Data/0047/or_11122/data/or_11122_TEI.xml
Or 2418,Sidur (סדור),"Services for week-days|Services for Sabbath|Services for rosh ḥodesh|Services for Pesaḥ|Tefilat ḥag Shavu῾ot|Tefilat ta῾aniyot|Services for Tish῾ah be-av|Services for Rosh ha-Shanah|Services for Yom Kipur|Tefilat ḥag Sukot|Seder ha-῾asiyah bi-shemonat yeme Ḥanukah|Services for Purim|Tseloah almiyat|Seliḥot le-lele ashmurot|Seliḥot le-el raḥamim|Seder ῾avodah|Berakhot|῾Ibur ha-shanim|Nusaḥ ha-ketubot, ha-giṭin ṿeha-sheṭarot|Liturgical pieces","",Hebrew; Judeo-Arabic,he|jrb,"",Yemen,Data/0047/or_2418/data/or_2418_TEI.xml
Harley MS 5520,Targum Onkelos (תרגום אונקלוס),Exodus|Leviticus|Numbers|Deuteronomy,"",Jewish Babylonian Aramaic (ca. 200-1200 CE); Hebrew,tmr|he,"",France,Data/0047/harley_ms_5520/data/harley_ms_5520_TEI.xml
Or 2088,Maḥzor (מחזור),Seliḥot le-'aseret yeme teshuvah|Services for Rosh ha-Shanah|Services for Yom Kipur|Services for Sukot,"",Hebrew,he,"",Italy,Data/0047/or_2088/data/or_2088_TEI.xml
